anmoin	anmain	['ainim(m)', 'anmain']
anmond	anmand	['anmann']
anmonn	anmann	['anmann', 'anfann', 'ainmm']
anmín	anmin	['ainim(m)', 'ainmm']
ann-sa	annsa	['i', 'annsa', 'ansu']
anndiu	andiu	['indé']
annechtair	anechtair	['anechtair']
anni	ann	['i', 'ann', 'an']
annossai	andossa	['indossa']
annsam	annsa	['i', 'annsa', 'ansu']
annsidie	annside	['side']
annsin	annóin	['andóin']
annso	annsa	['i', 'annsa', 'ansu']
annsoin	ainnséin	['sin']
anní	ann	['i', 'ann', 'an']
anníaraid	annīaraid	['aindíaraid']
annísin	annóin	['andóin']
anochd	anocht	['innocht', 'nocht', 'anocht']
anocol	anacol	['anacul']
anoir	anair	['anair']
anoissi	anois	['foss', 'indossa']
anom	anim	['ainim(m)', 'ainim', 'ainimm']
anond	anonn	['innonn']
anradaib	acradaib	['acradaib']
ansad	ansa	['ansa']
ansait	anait	['anaitt']
ansat	ansa	['ansa']
anserc	ainserc	['ainserc']
ansib	insib	['inis']
ansin	insin	['sin']
ansirce	anóire	['onóir']
anso	inso	['so']
ansuairc	anṡúairc	['anṡúairc']
antan	antaí	['andoe']
antar	aníar	['aníar']
antechtai	anechtair	['anechtair']
anti	inti	['i']
antuaidh	antúaid	['atúaid']
anuas	anúas	['anúas']
anubsa	ansa	['ansa']
anuid	anaid	['anaid']
anáil	aláil	['aile']
anála	annála	['anná(i)l']
análaib	análaig	['anáilchi']
análaibh	análaig	['anáilchi']
análche	análach	['análach']
anáu	ansu	['ansu']
anéb	ané	['indé']
anéolaig	análaig	['anáilchi']
aníos	anís	['anís']
anísa	ansa	['ansa']
anísin	insin	['sin']
anísiu	anís	['anís']
anóil	angil	['aingel']
anóis	anois	['foss', 'indossa']
aodha	aobha	['oíb']
aoer	aier	['aer', 'aeoir']
aoib	oib	['úa']
aoibhneas	aoibheal	['oíbell']
aoidheacht	aoigheacht	['oígidecht']
aoidhedh	oighedh	['aided']
aoidhenta	aichenta	['aithne']
aoifé	aoife	['aífe']
aoin	asin	['i', 'in']
aoineacht	aiceacht	['aiccecht']
aois	anois	['foss', 'indossa']
aonach	annach	['andach']
aonadaig	anapaig	['anapaig']
aonaig	atnaig	['ad-aig']
aonbruit	anbruith	['anbruith(e)']
aonduine	anduine	['anduine']
aonmeor	ainmer	['ainmer']
aonta	annta	['i']
aonuair	anair	['anair']
aonur	aon	['óen']
aoph	aodh	['áed']
aosa	asa	['asa', 'fíalus', 'a', 'as']
aoídhe	oídhe	['oígi']
aoífe	aoife	['aífe']
aoíntech	aíntech	['aíntech']
aoísi	arís	['frithissi']
apadh	apad	['apad', 'opad', 'at-bail(l)', 'ad-boind']
apairt	apair	['as-beir', 'apair']
apar	apair	['as-beir', 'apair']
aplaitis	adglaitis	['ad-gládathar']
appad	apad	['apad', 'opad', 'at-bail(l)', 'ad-boind']
appraind	apraid	['as-beir']
apraind	apraid	['as-beir']
apri	aprit	['as-beir']
apror	aapror	['as-beir']
aprur	apur	['apur']
apthain	athain	['athain']
ar-abu	arabu	['arbu']
ar-aí	araí	['aí']
ar-cichset	at-chichset	['ad-cí']
ar-rith	ar-reith	['ar-reith']
ara-som	oca-som	['oc']
arabeitte	arabeiti	['ar-peiti']
araclich	anaclach	['anaclach']
aracul	anacul	['aingid', 'anacul']
arad-sa	arat-osa	['ar-ossa']
aradaib	aradain	['aradu']
aradh	arad	['ard', 'arad']
aradna	aradha	['aradu']
aradnachta	aradnacht	['aradnacht']
arai	ara	['aer', 'ara']
araide	araid	['ara', 'airid']
araidechta	araidecht	['araidecht']
araidh	araid	['ara', 'airid']
araidi	araid	['ara', 'airid']
araige	araile	['aile']
arailib	araili	['aile']
araliad	araid	['ara', 'airid']
aralie	araile	['aile']
aran	ara	['aer', 'ara']
arapa	arara	['arara']
arar	ara	['aer', 'ara']
araressed	atressed	['at-reig']
araro	arro	['arro']
araslig	araili	['aile']
arau	ara	['aer', 'ara']
araísin	araméin	['armé(i)n']
arbaigtir	arsaigtis	['ad-saig']
arbertat	arbertar	['ar-beir']
arbho	arbha	['arbar']
arbo	arco	['arcu']
arbágais	argais	['argais']
arcadd	araid	['ara', 'airid']
arcaid	araid	['ara', 'airid']
arcante	arcait	['arcat', 'argat']
arcantis	arcanai	['ar-cain']
arccut	acut	['oc']
arceisi	arceiss	['ar-ceissi']
arcena	archena	['archena', 'olchena']
arcenai	arcanai	['ar-cain']
arcet	arcat	['arcat', 'argat']
arceuna	archena	['archena', 'olchena']
archel	airchel	['airchel']
archenae	archena	['archena', 'olchena']
archíuir	anchuir	['ancair']
arcit	arcait	['arcat', 'argat']
arclith	arcait	['arcat', 'argat']
arcud	arcu	['arcu']
arcuid	aruid	['arraid']
arda	ara	['aer', 'ara']
ardagaibet	arusgaibet	['ar-gaib']
ardai	ardri	['ardri']
ardaib	ardaig	['ardaig']
ardaicnid	ardaigid	['ardaigid']
ardaiph	ardaig	['ardaig']
ardan	ordan	['ord(d)an']
ardarcc	ardarc	['adarc', 'airdirc', 'ardarc']
ardaric	ardarc	['adarc', 'airdirc', 'ardarc']
ardaslig	ardaig	['ardaig']
ardatugethar	ardamunethar	['ar-muinethar']
ardbith	atbith	['attá']
ardcend	aircend	['airchinn']
ardchenda	archena	['archena', 'olchena']
ardchless	adchess	['ad-cí']
ardcæm	ardam	['airdam']
ardda	armda	['armda']
arddae	ardae	['ardae']
arddai	adnai	['ad-annai']
arddi	ardri	['ardri']
ardenig	ardaig	['ardaig']
ardeslig	adslig	['ad-slig']
ardgabáil	athgabáil	['athgabáil']
ardibi	araili	['aile']
ardithir	adirthir	['as-beir']
ardléga	arlega	['ar-léga']
ardmín	ardrí	['ardrí']
