Lugaid	Lug,Logha,Lagha,Lugh,Loga,Lug
Scimmaig	ScimmaigScimmaig
Núadu	Núadu,Nodonti,Nodenti,Nuadu,Nuado,Nuada,Nuadha,Nuadat,Nuadhat,Nodtat,Núadhat,Nuadhait,Nuadhat,Nuadhat,Nuadhaid,Nodan,Núadha,Núadhait
Manannán	Manannán,Manandān,Manandan,Manandán,Manannán
Oengus	Oengus,Oingus,Oengus,Aengus,Oíngusa,Oengusso,Oengussa,Oengusa,Aengusso,Aengusa,Aenghusa,Aengais,Aenghais,nÓengusa,Óengus,Óengussá
Pádraig	Pádraig,Patraic
Albanach	Albanchu,Albanaig,Albanach,Albanaigh,Albancho
Bolg	Bolga,Bulga,Bolga,Bulca,Builg,Bolg,Bolgthuath,Bolgraige,Builg,Bulga,Bulg
Brega	Brega,Breg,Bregaib,Breaghaib,Bregai,Bregu
Connachta	Connachta,Connacht,Chonnacht,Connachtu,Connacht,Connachtaib,Connachtaibh,Chonnachtaib
Cruithentúath	Cruithentúath,Cruithentúathe,Crích Cruithentúathe,Crich Cruithentúathe
Éireannach	Éireannach,Eireanchaib,Eirennach,Eirennachaibh,Eirionnach,Eírionnach,Hérennaig
Écmacht	Écmacht
Fomorach	Fomorach,Fomori,Fomóre
Gaileóin	Gaileóin,Gaileoin,Gailiain,Gailioin,Galéoin,Gailianaib,Galían,Galeoin,Galióin,Galiónaib
Gall	Gall,Gallaib
Gaodel	Gaodel,Gaodelaib
Maccu Miled	Maccu Miled
Mumu	Mumu,Muman,Mumnechu,Mumnig
Saxain	Saxain,Sagsuin,Saghsuin,Saxanu,Sacsan,Sachsan,Shaxan,Saxono,Saxanaib,Sacson
Túatha Dé Danand	Túatha Dé Danand,Thuatæ Dei Donand,Tuatai Dea,Tuatha Dea,Túath Dé Danann
Ulaid	Ulaid,Ulaidh,Ulaid,Ulaith,Ulto,Ultu,Ultu,hUlltu,Ultu,Ulod,Uloth,Ulath,hUltaib,Ulad,Uladdo,
Uladh,Uladimma,Uladmá,Ulaid,Ulaith,Ulid,Ulltaib,Ulod,Ultaib,Ultaibimmi,Ulto,Ultoib,Vlad,nUlad,nUltaib
Midluachra	Midluachra
